DMA,retail_month,gross_bookings
charleston-huntington,7/1/18,2935
wilkes barre-scranton,11/1/18,2935
utica,5/1/19,2935
medford-klamath falls,5/1/19,2890
little rock-pine bluff,10/1/18,2885
eugene,3/1/19,2885
norfolk-portsmouth-newport news,10/1/18,2885
wilkes barre-scranton,1/1/19,2883
butte-bozeman,3/1/19,2880
lincoln-hastings-kearney plus,2/1/19,2860
harrisburg-lancaster-lebanon-york,10/1/18,2857
fort smith-fay-sprngdl,4/1/19,2840
flint-saginaw-bay city,3/1/19,2840
des moines-ames,7/1/18,2840
davenport-rock island-moline,6/1/18,2840
mobile-pensacola,1/1/19,2833
tulsa,2/1/19,2833
paducah-cape girardeau-harrisburg,4/1/19,2830
wilmington,7/1/18,2830
la crosse-eau claire,2/1/19,2830
monterey-salinas,7/1/18,2830
omaha,2/1/19,2814
grand rapids-kalamazoo-battle creek,3/1/19,2790
colorado springs-pueblo,10/1/18,2790
harlingen-weslaco-brownsville,11/1/18,2790
albany-schenectady-troy,10/1/18,2790
harrisburg-lancaster-lebanon-york,1/1/19,2790
minot-bismarck-dickinson,2/1/19,2790
cedar rapids-waterloo-dubuque,1/1/19,2790
billings,7/1/18,2790
champaign-springfield-decatur,8/1/18,2790
binghamton,10/1/18,2790
orlando-daytona beach-melbourne,3/1/19,2790
cincinnati,2/1/19,2790
greensboro-high point-winston salem,4/1/19,2790
oklahoma city,1/1/19,2790
davenport-rock island-moline,5/1/19,2773
buffalo,7/1/18,2740
fresno-visalia,5/1/19,2740
fort wayne,5/1/19,2740
des moines-ames,3/1/19,2735
charleston-huntington,1/1/19,2735
santa barbara-san mar-san luis obispo,9/1/18,2735
nashville,10/1/18,2735
butte-bozeman,5/1/19,2735
wichita-hutchinson plus,1/1/19,2735
champaign-springfield-decatur,12/1/18,2704
savannah,11/1/18,2685
johnstown-altoona,4/1/19,2685
"bend, or",2/1/19,2685
"rochester, ny",12/1/18,2685
new york,5/1/18,2685
mobile-pensacola,6/1/18,2685
yakima-pasco-rchlnd-knnwck,11/1/18,2685
west palm beach-ft pierce,3/1/19,2680
eugene,7/1/18,2675
huntsville-decatur-florence,11/1/18,2652
new orleans,7/1/18,2640
wilmington,2/1/19,2631
shreveport,10/1/18,2630
"lafayette, la",5/1/19,2630
johnstown-altoona,7/1/18,2585
colorado springs-pueblo,3/1/19,2559
san angelo,4/1/19,2548
gainesville,12/1/18,2543
knoxville,6/1/18,2540
lansing,5/1/19,2540
traverse city-cadillac,10/1/18,2535
boise,8/1/18,2535
louisville,7/1/18,2535
flint-saginaw-bay city,7/1/18,2535
cedar rapids-waterloo-dubuque,5/1/19,2530
west palm beach-ft pierce,4/1/19,2510
milwaukee,1/1/19,2499
greenville-spartanburg-asheville,6/1/18,2485
sacramento-stockton-modesto,6/1/18,2485
grand junction-montrose,11/1/18,2480
lubbock,11/1/18,2446
billings,4/1/19,2440
baton rouge,3/1/19,2440
roanoke-lynchburg,1/1/19,2440
little rock-pine bluff,9/1/18,2440
monterey-salinas,2/1/19,2440
bakersfield,5/1/19,2440
